,date,time,open,high,low,close
0,21-12-02,06:31:00,113.114,113.117,113.113,113.114
1,21-12-02,06:31:05,113.114,113.118,113.114,113.118
2,21-12-02,06:31:10,113.118,113.118,113.114,113.114
3,21-12-02,06:31:15,113.114,113.114,113.109,113.109
4,21-12-02,06:31:20,113.109,113.11,113.108,113.108
5,21-12-02,06:31:25,113.108,113.108,113.105,113.105
6,21-12-02,06:31:30,113.105,113.105,113.102,113.104
7,21-12-02,06:31:35,113.104,113.106,113.104,113.106
8,21-12-02,06:31:40,113.106,113.106,113.102,113.104
9,21-12-02,06:31:45,113.104,113.106,113.104,113.106
10,21-12-02,06:31:50,113.106,113.106,113.103,113.104
11,21-12-02,06:31:55,113.104,113.12,113.104,113.118
12,21-12-02,06:32:00,113.118,113.118,113.114,113.114
13,21-12-02,06:32:05,113.114,113.116,113.114,113.116
14,21-12-02,06:32:10,113.116,113.118,113.114,113.118
15,21-12-02,06:32:15,113.118,113.125,113.11,113.11
16,21-12-02,06:32:20,113.11,113.113,113.11,113.113
17,21-12-02,06:32:25,113.113,113.114,113.112,113.113
18,21-12-02,06:32:30,113.113,113.113,113.112,113.113
19,21-12-02,06:32:35,113.113,113.119,113.112,113.116
20,21-12-02,06:32:40,113.116,113.124,113.116,113.124
21,21-12-02,06:32:45,113.124,113.124,113.122,113.122
22,21-12-02,06:32:50,113.122,113.126,113.122,113.125
23,21-12-02,06:32:55,113.125,113.126,113.123,113.123
24,21-12-02,06:33:00,113.123,113.123,113.121,113.121
25,21-12-02,06:33:05,113.121,113.121,113.118,113.118
26,21-12-02,06:33:10,113.118,113.121,113.118,113.12
27,21-12-02,06:33:15,113.12,113.122,113.112,113.112
28,21-12-02,06:33:20,113.112,113.116,113.11,113.11
29,21-12-02,06:33:25,113.11,113.114,113.109,113.113
30,21-12-02,06:33:30,113.113,113.114,113.113,113.114
31,21-12-02,06:33:35,113.114,113.116,113.114,113.114
32,21-12-02,06:33:40,113.114,113.116,113.114,113.116
